Item1,Item2,confidence,lift
Organic Hass Avocado,Organic Raspberries,0.12138882726585387,2.84830677688555
Banana,Organic Hass Avocado,0.06547850459300088,0.9919390026307048
Organic Hass Avocado,Banana,0.14564214472308118,0.9919390026307048
Organic Strawberries,Organic Hass Avocado,0.15361586779738512,2.327138831870579
Organic Hass Avocado,Organic Strawberries,0.19165870597662954,2.327138831870579
Organic Yellow Onion,Organic Hass Avocado,0.17549016276461996,2.6585142422883683
Organic Hass Avocado,Organic Yellow Onion,0.0935271667036405,2.6585142422883683
Organic Hass Avocado,Organic Lemon,0.09972518641596909,3.656822949209379
Organic Lemon,Organic Hass Avocado,0.24138913546152918,3.656822949209379
Organic Cucumber,Organic Hass Avocado,0.2151285218516558,3.258998853583461
Organic Hass Avocado,Organic Cucumber,0.08279268552180627,3.258998853583461
Organic Garlic,Organic Hass Avocado,0.16109043673641346,2.440371663080758
Organic Hass Avocado,Organic Garlic,0.08309602176777121,2.440371663080758
Limes,Organic Hass Avocado,0.14193372426019366,2.150165123003851
Organic Hass Avocado,Limes,0.09424249695531904,2.150165123003851
Organic Zucchini,Organic Hass Avocado,0.15637224436076483,2.368895396656968
Organic Hass Avocado,Organic Zucchini,0.0774594004808106,2.368895396656968
Organic Baby Spinach,Organic Raspberries,0.07472239327784509,1.7533104483518
Organic Raspberries,Organic Baby Spinach,0.1318906334368842,1.7533104483518
Organic Baby Spinach,Banana,0.21213325122663435,1.4447963949353242
Banana,Organic Baby Spinach,0.1086830412118276,1.4447963949353242
Organic Baby Spinach,Organic Avocado,0.12828906855247216,2.3301300122093846
Organic Avocado,Organic Baby Spinach,0.17528117943373284,2.3301300122093846
Organic Strawberries,Organic Baby Spinach,0.1443262681573571,1.9186256623220594
Organic Baby Spinach,Organic Strawberries,0.1580143421862895,1.9186256623220594
Organic Baby Spinach,Organic Whole Milk,0.06999860948332373,1.6400548774676558
Organic Whole Milk,Organic Baby Spinach,0.12337112167659807,1.6400548774676558
Organic Baby Spinach,Large Lemon,0.09553246856439086,1.9880315501476606
Large Lemon,Organic Baby Spinach,0.14954724115627643,1.9880315501476606
Organic Baby Spinach,Organic Yellow Onion,0.08126576746588268,2.309983375238227
Organic Yellow Onion,Organic Baby Spinach,0.17376567331543716,2.309983375238227
Organic Baby Spinach,Organic Grape Tomatoes,0.06663753203154486,2.5315596754320913
Organic Grape Tomatoes,Organic Baby Spinach,0.1904334794159722,2.5315596754320913
Organic Baby Spinach,Organic Cucumber,0.06653026360223278,2.618855173518615
Organic Cucumber,Organic Baby Spinach,0.19700017646020823,2.618855173518615
Organic Baby Spinach,Organic Garlic,0.08668083669374864,2.5456508398287507
Organic Garlic,Organic Baby Spinach,0.19149347001825587,2.5456508398287507
Organic Baby Spinach,Limes,0.08627162750044695,1.9683078287302471
Limes,Organic Baby Spinach,0.1480635483431065,1.9683078287302471
Organic Baby Spinach,Organic Zucchini,0.0848811108241791,2.5958692095008016
Organic Zucchini,Organic Baby Spinach,0.19527108543852595,2.5958692095008016
Banana,Organic Raspberries,0.04842547492219479,1.1362710349998408
Organic Raspberries,Banana,0.16683379732544196,1.1362710349998408
Organic Strawberries,Organic Raspberries,0.1289403687535607,3.025498593297621
Organic Raspberries,Organic Strawberries,0.24917428104598083,3.025498593297621
Banana,Organic Avocado,0.11319360623337286,2.055949287422828
Organic Avocado,Banana,0.30186620635747785,2.055949287422828
Banana,Yellow Onions,0.04526645104428943,1.9688973249311588
Yellow Onions,Banana,0.28908474047498345,1.9688973249311588
Organic Strawberries,Banana,0.21166497929798206,1.4416070901448015
Banana,Organic Strawberries,0.118728004380296,1.4416070901448015
Banana,Organic Whole Milk,0.06652879861426324,1.5587578305449066
Organic Whole Milk,Banana,0.2288657195073278,1.5587578305449066
Banana,Honeycrisp Apple,0.060328807163168054,2.422769995906803
Honeycrisp Apple,Banana,0.3557249159865578,2.422769995906803
Banana,Organic Baby Carrots,0.03560618859291133,1.4801443895187718
Organic Baby Carrots,Banana,0.21732324549960863,1.4801443895187718
Banana,Large Lemon,0.08760184900598626,1.8229952841403647
Large Lemon,Banana,0.2676625702771282,1.8229952841403647
Organic Yellow Onion,Banana,0.14759251078867786,1.0052225489115647
Banana,Organic Yellow Onion,0.03536396962289152,1.0052225489115647
Banana,Seedless Red Grapes,0.05242514110781593,2.022166199030111
Seedless Red Grapes,Banana,0.2969059805413381,2.022166199030111
Banana,Organic Fuji Apple,0.07155229792526221,2.577484176798708
Organic Fuji Apple,Banana,0.3784409348792645,2.577484176798708
Strawberries,Banana,0.28893572886346147,1.967882437176007
Banana,Strawberries,0.08789088340718637,1.967882437176007
Banana,Organic Blueberries,0.04051977341331309,1.2909424807394252
Organic Blueberries,Banana,0.18954354159922304,1.2909424807394252
Banana,Organic Gala Apples,0.0359074357152889,1.5881205501357614
Organic Gala Apples,Banana,0.2331769215517811,1.5881205501357614
Banana,Organic Grape Tomatoes,0.03987249919090722,1.514756144669593
Organic Grape Tomatoes,Banana,0.22240514089784055,1.514756144669593
Banana,Organic Garlic,0.040344724409769356,1.184847602928085
Organic Garlic,Banana,0.17396608622384496,1.184847602928085
Banana,Blueberries,0.03460678090988843,1.9872858859308076
Blueberries,Banana,0.2917846539326229,1.9872858859308076
Banana,Limes,0.06737961818962691,1.5372821148970501
Limes,Banana,0.22571253238783578,1.5372821148970501
Banana,Apple Honeycrisp Organic,0.03631045551414538,1.3921738692609098
Apple Honeycrisp Organic,Banana,0.20440691172426437,1.3921738692609098
Banana,Organic Zucchini,0.041232182148665454,1.2609796342316468
Organic Zucchini,Banana,0.18514422549628928,1.2609796342316468
Banana,Original Hummus,0.0383906890213743,1.7318992597301834
Original Hummus,Banana,0.2542873321469018,1.7318992597301834
Limes,Organic Cilantro,0.12663302877403518,5.800473987944011
Organic Cilantro,Limes,0.25423682409308695,5.800473987944011
Organic Strawberries,Organic Avocado,0.09098001647452436,1.6524811450469314
Organic Avocado,Organic Strawberries,0.13609518846621504,1.6524811450469314
Large Lemon,Organic Avocado,0.16024429076073438,2.910536613913227
Organic Avocado,Large Lemon,0.13986234149730764,2.910536613913227
Limes,Organic Avocado,0.157145779353607,2.854257972994047
Organic Avocado,Limes,0.12510313531353137,2.854257972994047
Organic Strawberries,Organic Whole Milk,0.08987324776741164,2.105714091219455
Organic Whole Milk,Organic Strawberries,0.17342258757956208,2.105714091219455
Organic Strawberries,Large Lemon,0.0628572050642833,1.3080590159529843
Large Lemon,Organic Strawberries,0.10772924026070949,1.3080590159529843
Organic Strawberries,Organic Yellow Onion,0.0628572050642833,1.7867190976002607
Organic Yellow Onion,Organic Strawberries,0.1471507696489857,1.7867190976002607
Organic Strawberries,Organic Blueberries,0.09080946523113322,2.8931503422865377
Organic Blueberries,Organic Strawberries,0.23827433207015405,2.8931503422865377
Organic Strawberries,Organic Cucumber,0.06381882377702058,2.512123772957877
Organic Cucumber,Organic Strawberries,0.20689371213458033,2.512123772957877
Organic Strawberries,Limes,0.07190730721359184,1.6405824235863702
Limes,Organic Strawberries,0.13511523251056867,1.6405824235863702
Limes,Large Lemon,0.19772262375562524,4.114609620280199
Large Lemon,Limes,0.18034479327329717,4.114609620280199
Organic Yellow Onion,Organic Garlic,0.1947313874069795,5.718889420103465
Organic Garlic,Organic Yellow Onion,0.2011918972054487,5.718889420103465
